nombre_oficial,pais,sitio_web,logo,orden,estado
Universidad de Nariño,Colombia,https://www.udenar.edu.co/,https://drive.google.com/file/d/16eRkWsySc_2FI_vmc2G0oA3sMlsvrqMO/view,1,publicado
Universidad del Cauca,Colombia,https://www.unicauca.edu.co/,,2,publicado
Universidad de Antioquia,Colombia,https://www.udea.edu.co/,,3,publicado
Universidad del Norte,Colombia,https://www.uninorte.edu.co/,,4,publicado
Universidad EAFIT,Colombia,https://www.eafit.edu.co/,,5,publicado
Universidad de los Andes,Colombia,https://uniandes.edu.co/,,6,publicado
Corporación Universitaria Minuto de Dios,Colombia,https://www.uniminuto.edu/,,7,publicado
