orden,periodo,texto,imagen,pie_imagen,anio_imagen,anio_confirmado,estado
1,1990,"Nace dentro del programa CYTED (Ciencia y Tecnología para el Desarrollo), integrado por organismos gubernamentales de América Latina y la Península Ibérica, bajo el Subprograma de Electrónica e Informática Aplicada.",,,,,publicado
2,1992–2018,"Premio de Informática Educativa, convocado junto al Ministerio de Educación Nacional de Colombia en tres categorías: experiencias educativas, recursos educativos digitales e investigación.",acto-mesa-principal.webp,"Mesa principal, acto de apertura",,no,publicado
3,15 + 15,Quince congresos internacionales y quince foros de investigadores organizados en Colombia.,publico-asistentes-sentados.webp,Público asistente a una plenaria,,no,publicado
4,2026,"XV Foro de Investigadores, Universidad de Nariño.",foro-asistentes-panoramica.webp,Panorámica de los asistentes,,no,publicado
